#{"t_start": 1761561634.0887206, "env_id": "None"}
r,l,t
0.9,2,0.704522
-0.4,15,0.706552
-0.1,12,0.707551
1.0,1,0.707551
-0.9,20,0.709551
0.9,2,0.710552
-2.7,38,0.714517
-1.7,28,0.717027
0.7,4,0.718035
0.7,4,0.718035
-0.3,14,0.724637
-0.5,16,0.726639
-1.2,23,0.729638
-5.0,50,0.735637
0.0,11,0.736638
0.9,2,0.736638
0.4,7,0.737638
0.3,8,0.739639
0.7,4,0.740638
0.7,4,0.740638
-1.4,25,0.746101
0.8,3,0.747076
-0.8,19,0.749078
0.4,7,0.749078
0.5,6,0.751043
0.5,6,0.751043
-0.3,14,0.753048
0.8,3,0.753048
0.1,10,0.754046
-1.3,24,0.757075
0.9,2,0.759267
-2.7,38,0.763273
-1.9,30,0.767272
0.7,4,0.767272
-0.8,19,0.769274
-2.3,34,0.775275
1.0,1,0.775275
-0.9,20,0.777274
-0.4,15,0.779273
-0.1,12,0.780274
-1.2,23,0.785254
0.5,6,0.786254
0.6,5,0.786254
0.2,9,0.788255
0.1,10,0.789259
0.6,5,0.790257
-2.5,36,0.793254
0.9,2,0.794256
0.9,2,0.794256
0.4,7,0.795256
0.4,7,0.798259
-0.5,16,0.800254
-1.0,21,0.803266
0.2,9,0.804261
-0.8,19,0.806261
1.0,1,0.806261
-0.5,16,0.809265
-0.2,13,0.810263
1.0,1,0.811261
0.2,9,0.81226
-0.1,12,0.815578
0.9,2,0.815578
-0.8,19,0.818102
0.6,5,0.8191
-0.1,12,0.820101
0.8,3,0.821102
0.0,11,0.822102
-0.2,13,0.824103
0.1,10,0.825102
-0.4,15,0.8261
0.7,4,0.829901
-0.4,15,0.830901
0.9,2,0.8319
0.6,5,0.8319
1.0,1,0.8319
-0.1,12,0.833931
0.8,3,0.833931
-1.4,25,0.836904
0.4,7,0.8379
0.1,10,0.838935
-1.4,25,0.843898
-0.7,18,0.846898
0.3,8,0.855899
0.5,6,0.861898
0.6,5,0.8649
0.3,8,0.869896
0.4,7,0.876899
0.0,11,0.882899
-1.9,30,0.901932
0.4,7,0.90697
0.9,2,0.908939
-1.0,21,0.922166
-2.1,32,0.941131
0.7,4,0.943131
1.0,1,0.944131
0.1,10,0.949166
-0.6,17,0.95717
0.9,2,0.959169
-0.1,12,0.966131
0.9,2,0.966131
1.0,1,0.970131
0.8,3,0.970131
-1.2,23,0.985131
0.9,2,0.988131
-0.1,12,0.995135
-0.4,15,1.002133
0.9,2,1.003139
-0.6,17,1.015138
0.9,2,1.017715
-0.6,17,1.028722
0.1,10,1.035721
0.9,2,1.037722
-0.5,16,1.049721
0.0,11,1.057721
1.0,1,1.058749
-5.0,50,1.083722
1.0,1,1.084723
0.8,3,1.085721
0.7,4,1.087721
0.5,6,1.091719
-0.7,18,1.102722
1.0,1,1.103722
1.0,1,1.103722
-2.7,38,1.128269
-3.0,41,1.153266
-1.7,28,1.169266
0.8,3,1.170268
0.0,11,1.176265
-1.5,26,1.192266
0.6,5,1.194265
-5.0,50,1.228546
1.0,1,1.230546
-0.5,16,1.239548
0.5,6,1.242547
0.5,6,1.246547
0.5,6,1.249575
-0.3,14,1.258546
0.7,4,1.261546
0.7,4,1.263547
1.0,1,1.264546
0.9,2,1.266544
0.4,7,1.271544
1.0,1,1.271544
-1.4,25,1.291576
0.4,7,1.296545
1.0,1,1.299546
-0.9,20,1.314557
0.7,4,1.317554
-0.1,12,1.330062
0.6,5,1.334064
0.4,7,1.346065
0.9,2,1.346065
0.4,7,1.354066
0.0,11,1.364087
0.7,4,1.368062
0.6,5,1.370061
0.2,9,1.377092
0.0,11,1.387061
0.6,5,1.390061
-0.9,20,1.403064
0.6,5,1.409065
0.7,4,1.413067
0.6,5,1.41757
0.7,4,1.421578
-5.0,50,1.459604
0.5,6,1.464574
0.0,11,1.468576
0.6,5,1.473604
